iter	Passed	Remaining
0	31	31157
1	34	17033
2	36	12114
3	38	9654
4	41	8286
5	44	7290
6	46	6584
7	48	6074
8	51	5669
9	54	5401
10	57	5179
11	59	4934
12	62	4720
13	64	4566
14	67	4410
15	70	4366
16	73	4259
17	76	4160
18	78	4067
19	81	3980
20	84	3919
21	87	3872
22	89	3801
23	92	3746
24	95	3718
25	98	3690
26	100	3627
27	102	3570
28	105	3517
29	107	3482
30	110	3447
31	112	3397
32	114	3367
33	117	3334
34	119	3301
35	122	3282
36	125	3272
37	127	3238
38	130	3208
39	132	3185
40	135	3163
41	137	3139
42	139	3115
43	142	3095
44	144	3066
45	146	3034
46	148	3017
47	151	3012
48	154	2992
49	156	2971
50	158	2955
51	161	2950
52	164	2939
53	166	2922
54	168	2901
55	171	2886
56	173	2876
57	176	2872
58	179	2859
59	181	2843
60	184	2836
61	188	2851
62	191	2847
63	195	2862
64	198	2857
65	201	2850
66	204	2849
67	206	2834
68	209	2827
69	212	2817
70	214	2802
71	216	2795
72	219	2783
73	222	2778
74	225	2775
75	228	2773
76	230	2761
77	233	2754
78	235	2744
79	237	2734
80	240	2727
81	244	2735
82	247	2732
83	250	2732
84	255	2751
85	260	2767
86	262	2754
87	265	2748
88	267	2741
89	270	2736
90	273	2731
91	276	2725
92	278	2719
93	281	2709
94	283	2696
95	285	2689
96	287	2680
97	290	2673
98	293	2670
99	295	2662
100	298	2657
101	301	2650
102	303	2640
103	305	2629
104	307	2620
105	310	2615
106	313	2617
107	316	2613
108	319	2608
109	322	2605
110	324	2597
111	326	2588
112	328	2580
113	330	2571
114	333	2565
115	335	2559
116	341	2575
117	347	2597
118	351	2600
119	354	2598
120	356	2593
121	359	2586
122	361	2577
123	363	2570
124	366	2565
125	369	2561
126	371	2555
127	373	2547
128	376	2540
129	379	2536
130	381	2532
131	384	2527
132	386	2520
133	388	2513
134	391	2505
135	393	2500
136	396	2495
137	398	2491
138	401	2486
139	403	2479
140	406	2474
141	408	2470
142	411	2464
143	414	2462
144	416	2456
145	419	2453
146	422	2451
147	424	2444
148	426	2436
149	428	2429
150	431	2423
151	433	2418
152	437	2421
153	440	2420
154	443	2418
155	445	2411
156	448	2406
157	450	2401
158	453	2396
159	456	2396
160	459	2395
161	463	2395
162	465	2389
163	467	2382
164	470	2379
165	472	2374
166	474	2368
167	477	2366
168	480	2363
169	483	2358
170	485	2354
171	487	2348
172	490	2342
173	492	2338
174	495	2333
175	497	2327
176	500	2325
177	502	2319
178	504	2314
179	507	2311
180	509	2306
181	512	2303
182	515	2301
183	519	2302
184	521	2299
185	525	2297
186	527	2293
187	529	2288
188	532	2286
189	535	2282
190	538	2281
191	541	2279
192	544	2275
193	546	2270
194	548	2266
195	551	2261
196	554	2258
197	556	2255
198	559	2252
199	566	2265
200	569	2261
201	571	2256
202	573	2250
203	575	2247
204	579	2245
205	581	2240
206	583	2235
207	586	2232
208	588	2228
209	591	2223
210	594	2222
211	597	2219
212	599	2214
213	601	2209
214	604	2205
215	606	2202
216	609	2198
217	611	2193
218	614	2190
219	616	2185
220	618	2181
221	621	2177
222	623	2172
223	625	2167
224	628	2163
225	630	2157
226	632	2154
227	648	2195
228	651	2192
229	654	2189
230	656	2183
231	658	2178
232	660	2175
233	663	2172
234	665	2167
235	668	2163
236	670	2159
237	673	2157
238	689	2195
239	691	2190
240	694	2186
241	696	2182
242	699	2179
243	703	2178
244	716	2206
245	718	2203
246	721	2198
247	723	2194
248	726	2191
249	728	2186
250	731	2182
251	733	2177
252	735	2172
253	738	2168
254	740	2162
255	742	2157
256	745	2154
257	747	2151
258	749	2145
259	771	2197
260	774	2193
261	776	2188
262	779	2183
263	781	2178
264	783	2173
265	786	2170
266	789	2166
267	791	2162
268	793	2157
269	796	2152
270	798	2148
271	801	2143
272	803	2140
273	806	2138
274	809	2133
275	812	2130
276	814	2126
277	817	2122
278	819	2118
279	821	2113
280	823	2108
281	826	2105
282	829	2100
283	831	2097
284	834	2093
285	837	2089
286	840	2087
287	843	2085
288	846	2083
289	849	2079
290	853	2078
291	855	2074
292	857	2069
293	859	2065
294	862	2060
295	865	2058
296	868	2055
297	870	2051
298	873	2048
299	876	2044
300	879	2041
301	881	2038
302	884	2034
303	890	2039
304	893	2036
305	896	2032
306	898	2027
307	900	2023
308	903	2019
309	906	2017
310	908	2012
311	911	2009
312	913	2004
313	915	2001
314	918	1997
315	921	1995
316	923	1990
317	926	1986
318	928	1981
319	930	1978
320	933	1975
321	936	1971
322	938	1966
323	940	1963
324	942	1958
325	944	1953
326	946	1948
327	949	1944
328	951	1939
329	953	1935
330	955	1930
331	957	1926
332	960	1923
333	963	1921
334	966	1919
335	969	1915
336	971	1911
337	975	1910
338	978	1907
339	980	1903
340	982	1899
341	985	1895
342	988	1893
343	992	1893
344	995	1890
345	998	1887
346	1002	1885
347	1005	1883
348	1008	1881
349	1011	1877
350	1013	1874
351	1015	1870
352	1018	1866
353	1020	1863
354	1022	1858
355	1026	1856
356	1028	1852
357	1030	1848
358	1034	1846
359	1036	1842
360	1038	1838
361	1041	1834
362	1043	1830
363	1046	1827
364	1048	1823
365	1050	1820
366	1054	1818
367	1056	1814
368	1059	1812
369	1062	1808
370	1064	1804
371	1067	1801
372	1069	1798
373	1072	1794
374	1075	1792
375	1078	1789
376	1081	1786
377	1084	1784
378	1087	1782
379	1090	1778
380	1092	1774
381	1094	1770
382	1096	1766
383	1098	1762
384	1101	1758
385	1103	1755
386	1106	1752
387	1108	1748
388	1110	1744
389	1114	1742
390	1116	1739
391	1119	1735
392	1121	1732
393	1124	1729
394	1128	1728
395	1130	1724
396	1133	1721
397	1135	1717
398	1138	1714
399	1140	1710
400	1142	1706
401	1144	1703
402	1147	1699
403	1150	1696
404	1152	1693
405	1155	1690
406	1157	1686
407	1160	1684
408	1163	1680
409	1166	1678
410	1169	1675
411	1172	1672
412	1174	1669
413	1177	1667
414	1185	1670
415	1188	1668
416	1191	1665
417	1193	1661
418	1195	1657
419	1198	1654
420	1200	1651
421	1203	1648
422	1206	1645
423	1208	1641
424	1211	1638
425	1214	1636
426	1216	1632
427	1218	1628
428	1221	1625
429	1223	1622
430	1226	1618
431	1228	1615
432	1230	1611
433	1232	1607
434	1234	1603
435	1237	1600
436	1252	1614
437	1255	1610
438	1257	1606
439	1259	1603
440	1261	1599
441	1264	1595
442	1266	1592
443	1268	1589
444	1270	1584
445	1273	1581
446	1275	1578
447	1277	1574
448	1281	1572
449	1284	1569
450	1287	1567
451	1289	1563
452	1310	1581
453	1313	1579
454	1316	1576
455	1318	1573
456	1321	1569
457	1323	1566
458	1329	1566
459	1333	1565
460	1337	1563
461	1340	1560
462	1342	1557
463	1344	1553
464	1346	1549
465	1349	1546
466	1352	1543
467	1354	1539
468	1356	1536
469	1359	1532
470	1362	1530
471	1364	1526
472	1366	1522
473	1369	1519
474	1372	1517
475	1375	1514
476	1378	1510
477	1380	1507
478	1382	1503
479	1384	1500
480	1387	1497
481	1389	1493
482	1391	1489
483	1395	1487
484	1397	1484
485	1400	1480
486	1402	1477
487	1405	1474
488	1407	1471
489	1410	1468
490	1413	1464
491	1415	1461
492	1417	1457
493	1420	1454
494	1422	1451
495	1424	1447
496	1426	1444
497	1429	1440
498	1431	1437
499	1433	1433
500	1436	1430
501	1438	1426
502	1440	1423
503	1443	1420
504	1445	1416
505	1448	1414
506	1451	1411
507	1454	1408
508	1456	1405
509	1458	1401
510	1461	1398
511	1463	1394
512	1465	1391
513	1467	1388
514	1470	1384
515	1472	1381
516	1480	1383
517	1483	1380
518	1497	1388
519	1501	1385
520	1505	1383
521	1508	1381
522	1511	1378
523	1514	1375
524	1516	1372
525	1518	1368
526	1520	1364
527	1539	1376
528	1541	1372
529	1544	1369
530	1546	1366
531	1549	1362
532	1552	1359
533	1555	1357
534	1557	1353
535	1559	1350
536	1562	1346
537	1565	1344
538	1568	1341
539	1571	1338
540	1573	1335
541	1576	1332
542	1579	1329
543	1582	1326
544	1584	1322
545	1586	1319
546	1589	1316
547	1592	1313
548	1595	1310
549	1597	1307
550	1600	1304
551	1602	1300
552	1605	1297
553	1608	1294
554	1611	1291
555	1614	1288
556	1617	1286
557	1619	1282
558	1621	1279
559	1624	1276
560	1626	1272
561	1628	1269
562	1631	1266
563	1634	1263
564	1638	1261
565	1642	1259
566	1646	1257
567	1648	1253
568	1651	1250
569	1653	1247
570	1656	1244
571	1659	1241
572	1662	1238
573	1664	1235
574	1666	1232
575	1668	1228
576	1671	1225
577	1674	1222
578	1676	1218
579	1678	1215
580	1680	1212
581	1683	1208
582	1685	1205
583	1688	1202
584	1690	1199
585	1693	1196
586	1696	1193
587	1698	1190
588	1701	1187
589	1703	1183
590	1705	1180
591	1707	1177
592	1710	1174
593	1713	1170
594	1715	1167
595	1718	1164
596	1720	1161
597	1724	1159
598	1726	1155
599	1729	1153
600	1732	1150
601	1734	1147
602	1737	1143
603	1739	1140
604	1741	1137
605	1744	1134
606	1746	1131
607	1748	1127
608	1751	1124
